REFERENCIA;NOMBRE;CATEGORIA;UNIDAD;GENERACION;VALOR
130253005M;MAGLUMI Free T3 (CLIA) 2G/100 tests;;;;1
130253004M;MAGLUMI Free T4 (CLIA) 2G/100 tests;;;;1
130661004M;MAGLUMI 25-OH Vitamin D (CLIA) 2G/50 tests;;;;1
130601038M;MAGLUMI CA 15-3 (CLIA) 2G/50 tests;;;;1
130255002M;MAGLUMI Insulin (CLIA) 2G/100 tests;;;;1
130201034M;MAGLUMI Total PSA (CLIA) 2G/100 tests;;;;1
130612006M;MAGLUMI CMV IgM (CLIA) 1G/50 tests;;;;1
130612005M;MAGLUMI CMV IgG (CLIA) 1G/50 tests;;;;1
130656004M;MAGLUMI NT-proBNP (CLIA) 2G/50 tests;;;;1
130653011M;MAGLUMI Anti-TPO (CLIA) 2G/50 tests;;;;1
130601042M;MAGLUMI CA 72-4 (CLIA) 2G/50 tests;;;;1
130652008M;MAGLUMI Unconjugated Estriol (CLIA) 2G/50 tests;;;;1
130261001M;MAGLUMI Intact PTH (CLIA) 2G/100 tests;;;;1
130612001M;MAGLUMI Toxo IgG (CLIA) 1G/50 tests;;;;1
130652006M;MAGLUMI Prolactin (CLIA) 2G/50 tests;;;;1
130619008M;MAGLUMI HIV Ab/Ag Combi (CLIA) (Add CE Mark) 2G/50 tests;;;;1
130653007M;MAGLUMI Anti-Tg (CLIA) 2G/50 tests;;;;1
130601037M;MAGLUMI CA 19-9 (CLIA) 2G/50 tests;;;;1
130601031M;MAGLUMI CA 125 (CLIA) 2G/50 tests;;;;1
130601040M;MAGLUMI CYFRA 21-1 (CLIA) 2G/50 tests;;;;1
130601032M;MAGLUMI CEA (CLIA) 2G/50 tests;;;;1
130653006M;MAGLUMI Thyroglobulin (CLIA) 2G/50 tests;;;;1
130652010M;MAGLUMI Testosterone (CLIA) 2G/50 tests;;;;1
130601521M;MAGLUMI H.pylori IgG (CLIA) 2G/50 tests;;;;1
130652002M;MAGLUMI LH (CLIA) 2G/50 tests;;;;1
130601035M;MAGLUMI Free PSA (CLIA) 2G/50 tests;;;;1
130601033M;MAGLUMI AFP (CLIA) 2G/50 tests;;;;1
130652003M;MAGLUMI Total β HCG (CLIA) 2G/50 tests;;;;1
130666001M;MAGLUMI PCT (CLIA) 2G/50 tests;;;;1
130663001M;MAGLUMI FA (CLIA) 2G/50 tests;;;;1
130655002M;MAGLUMI Insulin (CLIA) 2G/50 tests;;;;1
130651001M;MAGLUMI Ferritin (CLIA) 2G/50 tests;;;;1
130652001M;MAGLUMI FSH (CLIA) 2G/50 tests;;;;1
130656008M;MAGLUMI D-Dimer (CLIA) 2G/50 tests;;;;1
130653002M;MAGLUMI T4 (CLIA) 2G/50 tests ;;;;1
130653003M;MAGLUMI T3 (CLIA) 2G/50 tests;;;;1
130653005M;MAGLUMI Free T3 (CLIA) 2G/50 tests;;;;1
130612003M;MAGLUMI Rubella IgG (CLIA) 1G/50 tests;;;;1
130656002M;MAGLUMI cTnI (CLIA) 2G/50 tests;;;;1
130603023M;MAGLUMI TSH (CLIA) 2G/50 tests;;;;1
130658001M;MAGLUMI IgE (CLIA) 2G/50 tests;;;;1
130670004M;MAGLUMI 17α-OH Progesterone (CLIA) 2G/50 tests;;;;1
130652007M;MAGLUMI Estradiol (CLIA) 2G/50 tests;;;;1
130203023M;MAGLUMI TSH (CLIA) 2G/100 tests;;;;1
130652009M;MAGLUMI Progesterone (CLIA) 2G/50 tests;;;;1
130263002M;MAGLUMI Vitamin B12 (CLIA) 2G/100 tests;;;;1
130670002M;MAGLUMI Cortisol (CLIA) 2G/50 tests;;;;1
130602516M;MAGLUMI Androstenedione (CLIA) 2G/50 tests;;;;1
130610009M;MAGLUMI HBsAg(CLIA) 2G/50 tests;;;;1
130299006M;MAGLUMI Light Check(1Box=5*2ml);;;;1
3183807190; UA Gen.2, 400Tests, cobas c, Integra ;;;;1
20764949322; ASTL,  500Tests, cobas c, Integra ;;;;1
4460715190; UREAL,  500Tests, cobas c, Integra ;;;;1
20764957322; ALTL,  500Tests, cobas c, Integra ;;;;1
3039773190; CHOL HiCo Gen.2, 400Tests, cobas c, Int. ;;;;1
3015050122; TRSF Gen.2, 100Tests, cobas c, Integra ;;;;1
4404483190; GLUC HK Gen.3, 800Tests, cobas c, Int. ;;;;1
7876033190;CRP Gen.4 250 Test cobas c501/INT;;;;1
4628918190; CRP LX HS, 300Tests, cobas c, Integra ;;;;1
5336163190;A1C-Gen.3, 150Tests,cobas c 501 ;;;;1
4489403190; ASLO TQ, 150Tests, cobas c ;;;;1
6600239190; Cystatin C TQ Gen.2, 225T, cobas c,INT ;;;;1
3183793122; PHOS Gen.2, 250Tests, cobas c, Integra ;;;;1
5795397190; BIL-T Gen.3, 250Tests cobas c,Integra ;;;;1
5061482190; CA, Gen.2, 300Tests, cobas c,Integra ;;;;1
5589061190; BIL-D Gen.2, 350Tests cobas c, Integra ;;;;1
3333752190; ALP IFCC Gen.2 S, 200T, cobas c, Int. ;;;;1
3183742122; AMYL Gen.2, 300Tests, cobas c, Integra ;;;;1
4469658190; ALB-T TQ Gen.2, 100Tests, cobas c, Int.;;;;1
7528566190;HDL-C GEN.4, 350 TEST COBAS C INTEGRA;;;;1
20764574322; RFII, 100Tests, cobas c, Integra ;;;;1
3004732122; LDHI Gen.2 acc.IFCC, 300T, cobas c, Int. ;;;;1
130612004M;MAGLUMI Rubella IgM (CLIA) 1G/50 tests;;;;1
9315349190;TROPONIN T hS STAT ELECSYS COBAS E 100 V2,1;;;;1
11776215122; Elecsys CA 19-9 Calset ;;;;1
8932417190;FSH CS Elecsys V3;;;;1
8838534190;Total PSA G2 CS Elecsys V3;;;;1
11731645322;Elecsys CEA Calset 2.Gen.;;;;1
6472931190; Anti-TPO CS Elecsys ;;;;1
