REFERENCIA;NOMBRE;CATEGORIA;UNIDAD;GENERACION;VALOR
130253005M1;MAGLUMI Free T3 (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130253004M1;MAGLUMI Free T4 (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC;1G;1
130661004M1;MAGLUMI 25-OH Vitamin D (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130601038M1;MAGLUMI CA 15-3 (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130255002M1;MAGLUMI Insulin (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130201034M1;MAGLUMI Total PSA (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130612006M1;MAGLUMI CMV IgM (CLIA) 1G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130612005M1;MAGLUMI CMV IgG (CLIA) 1G/50 tests;1;RAPIDIAGNOSTIC;1G;1
130656004M1;MAGLUMI NT-proBNP (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130653011M1;MAGLUMI Anti-TPO (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130601042M1;MAGLUMI CA 72-4 (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130652008M1;MAGLUMI Unconjugated Estriol (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130261001M1;MAGLUMI Intact PTH (CLIA) 2G/100 tests;1;RAPIDIAGNOSTIC; 2G;1
130612001M1;MAGLUMI Toxo IgG (CLIA) 1G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130652006M1;MAGLUMI Prolactin (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130619008M1;MAGLUMI HIV Ab/Ag Combi (CLIA) (Add CE Mark) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130653007M1;MAGLUMI Anti-Tg (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130601037M1;MAGLUMI CA 19-9 (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130601031M1;MAGLUMI CA 125 (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
130601040M1;MAGLUMI CYFRA 21-1 (CLIA) 2G/50 tests;1;RAPIDIAGNOSTIC; 2G;1
